instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
100,05/01/2011,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,195
101,05/01/2011,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,115
102,05/01/2011,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,57
103,05/01/2011,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,46
104,05/01/2011,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,79
105,05/01/2011,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,71
106,05/01/2011,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,62
107,05/01/2011,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,62
108,05/01/2011,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,89
109,05/01/2011,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,190
110,05/01/2011,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,169
111,05/01/2011,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,132
112,05/01/2011,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,89
113,05/01/2011,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,43
114,05/01/2011,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,42
115,05/01/2011,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0,19
116,06/01/2011,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0,11
117,06/01/2011,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0,4
118,06/01/2011,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0,2
119,06/01/2011,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,1
120,06/01/2011,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,4
121,06/01/2011,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,36
122,06/01/2011,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0,95
123,06/01/2011,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0,219
124,06/01/2011,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0,122
125,06/01/2011,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0,45
126,06/01/2011,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,59
127,06/01/2011,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0,84
128,06/01/2011,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,67
129,06/01/2011,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,70
130,06/01/2011,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0,62
131,06/01/2011,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,86
132,06/01/2011,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,172
133,06/01/2011,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,163
134,06/01/2011,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,112
135,06/01/2011,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,69
136,06/01/2011,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,48
137,06/01/2011,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,52
138,06/01/2011,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,23
139,07/01/2011,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,17
140,07/01/2011,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,7
141,07/01/2011,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,1
142,07/01/2011,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,1
143,07/01/2011,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0,5
144,07/01/2011,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0,34
145,07/01/2011,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,84
146,07/01/2011,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,210
147,07/01/2011,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,134
148,07/01/2011,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,63
149,07/01/2011,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,67
150,07/01/2011,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,59
151,07/01/2011,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,73
152,07/01/2011,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,50
153,07/01/2011,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,72
154,07/01/2011,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,87
155,07/01/2011,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0,187
156,07/01/2011,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,123
157,07/01/2011,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,95
158,07/01/2011,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,51
159,07/01/2011,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,39
160,07/01/2011,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,36
161,07/01/2011,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,15
162,08/01/2011,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,25
163,08/01/2011,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,16
164,08/01/2011,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0,16
165,08/01/2011,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,7
166,08/01/2011,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,1
167,08/01/2011,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,5
168,08/01/2011,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,2
169,08/01/2011,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,9
170,08/01/2011,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,15
171,08/01/2011,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,20
172,08/01/2011,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,61
173,08/01/2011,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,62
174,08/01/2011,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,98
175,08/01/2011,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,102
176,08/01/2011,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,95
177,08/01/2011,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,74
178,08/01/2011,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,76
179,08/01/2011,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,69
180,08/01/2011,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,55
181,08/01/2011,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,30
182,08/01/2011,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,28
183,08/01/2011,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,37
184,08/01/2011,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,34
185,08/01/2011,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,22
186,09/01/2011,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,25
187,09/01/2011,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,12
188,09/01/2011,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,11
189,09/01/2011,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,4
190,09/01/2011,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,1
191,09/01/2011,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,1
192,09/01/2011,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,1
193,09/01/2011,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,6
194,09/01/2011,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,10
195,09/01/2011,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,19
196,09/01/2011,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,49
197,09/01/2011,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,49
198,09/01/2011,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,83
199,09/01/2011,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,75
200,09/01/2011,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,72
201,09/01/2011,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,82
202,09/01/2011,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,92
203,09/01/2011,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,62
204,09/01/2011,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,48
205,09/01/2011,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,41
206,09/01/2011,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,38
207,09/01/2011,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,20
208,09/01/2011,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,15
209,09/01/2011,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,6
210,10/01/2011,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,5
211,10/01/2011,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1
212,10/01/2011,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,3
213,10/01/2011,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,1
214,10/01/2011,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,3
215,10/01/2011,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,3
216,10/01/2011,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,31
217,10/01/2011,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,77
218,10/01/2011,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,188
219,10/01/2011,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,94
220,10/01/2011,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,31
221,10/01/2011,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,30
222,10/01/2011,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,52
223,10/01/2011,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,54
224,10/01/2011,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,47
225,10/01/2011,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,45
226,10/01/2011,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,74
227,10/01/2011,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,178
228,10/01/2011,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,155
229,10/01/2011,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,95
230,10/01/2011,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,74
231,10/01/2011,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,38
232,10/01/2011,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,24
233,10/01/2011,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,18
234,11/01/2011,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,12
235,11/01/2011,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,3
236,11/01/2011,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,3
237,11/01/2011,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,6
238,11/01/2011,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,27
239,11/01/2011,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0,99
240,11/01/2011,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,217
241,11/01/2011,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,130
242,11/01/2011,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,54
243,11/01/2011,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,35
244,11/01/2011,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,57
245,11/01/2011,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,52
246,11/01/2011,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,63
247,11/01/2011,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,47
248,11/01/2011,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,76
249,11/01/2011,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,136
250,11/01/2011,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,95
251,11/01/2011,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0,51
252,11/01/2011,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,32
253,11/01/2011,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,20
254,11/01/2011,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,29
255,11/01/2011,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,19
256,12/01/2011,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,7
257,12/01/2011,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,6
258,12/01/2011,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,1
259,12/01/2011,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,5
260,12/01/2011,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,16
261,12/01/2011,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,54
262,12/01/2011,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,128
263,12/01/2011,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,81
264,12/01/2011,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,39
265,12/01/2011,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,35
266,12/01/2011,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,55
267,12/01/2011,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,49
268,12/01/2011,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,44
269,12/01/2011,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,49
270,12/01/2011,1,0,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,68
271,12/01/2011,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,139
272,12/01/2011,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,137
273,12/01/2011,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,83
274,12/01/2011,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,56
275,12/01/2011,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,57
276,12/01/2011,1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,33
277,12/01/2011,1,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,20
278,13/01/2011,1,0,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,7
279,13/01/2011,1,0,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,2
280,13/01/2011,1,0,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,2
281,13/01/2011,1,0,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,3
282,13/01/2011,1,0,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,4
283,13/01/2011,1,0,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,3
284,13/01/2011,1,0,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,28
285,13/01/2011,1,0,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,72
286,13/01/2011,1,0,1,8,0,4,1,1,0.14,0.1364,0.5,0.194,202
287,13/01/2011,1,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,139
288,13/01/2011,1,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,38
289,13/01/2011,1,0,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,37
290,13/01/2011,1,0,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,52
291,13/01/2011,1,0,1,13,0,4,1,1,0.22,0.197,0.41,0.4478,83
292,13/01/2011,1,0,1,14,0,4,1,1,0.22,0.197,0.41,0.3881,42
293,13/01/2011,1,0,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985,60
294,13/01/2011,1,0,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582,78
295,13/01/2011,1,0,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836,162
296,13/01/2011,1,0,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284,144
297,13/01/2011,1,0,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537,99
298,13/01/2011,1,0,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,64
299,13/01/2011,1,0,1,21,0,4,1,1,0.14,0.1212,0.46,0.2985,40
300,13/01/2011,1,0,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284,30
301,13/01/2011,1,0,1,23,0,4,1,1,0.12,0.1364,0.5,0.194,15
302,14/01/2011,1,0,1,0,0,5,1,1,0.12,0.1364,0.5,0.194,14
303,14/01/2011,1,0,1,1,0,5,1,1,0.1,0.1212,0.54,0.1642,5
304,14/01/2011,1,0,1,2,0,5,1,1,0.1,0.1212,0.54,0.1343,1
305,14/01/2011,1,0,1,3,0,5,1,1,0.1,0.1364,0.54,0.1045,1
306,14/01/2011,1,0,1,5,0,5,1,1,0.1,0.1364,0.54,0.0896,8
307,14/01/2011,1,0,1,6,0,5,1,1,0.1,0.1818,0.54,0,17
308,14/01/2011,1,0,1,7,0,5,1,1,0.1,0.1212,0.74,0.1642,70
309,14/01/2011,1,0,1,8,0,5,1,1,0.12,0.1667,0.68,0,158
310,14/01/2011,1,0,1,9,0,5,1,1,0.14,0.1515,0.69,0.1343,117
311,14/01/2011,1,0,1,10,0,5,1,1,0.18,0.1818,0.55,0.194,44
312,14/01/2011,1,0,1,11,0,5,1,1,0.18,0.1667,0.51,0.2836,53
